,job_satisfaction,is_male,age,ten,fulltime,training,survey,talks,goals,trust_time,wages_above_avg,tarif,prp,prp_team
0,6.0,1.0,37.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,6.0,1.0,37.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,7.0,1.0,37.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,6.0,1.0,37.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,6.0,1.0,57.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,6.0,1.0,37.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,7.0,0.0,47.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
7,5.0,1.0,47.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8,6.0,0.0,42.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
9,5.0,1.0,32.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10,4.0,0.0,32.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
11,7.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12,6.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13,6.0,0.0,42.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
14,,1.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
15,6.0,1.0,47.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16,6.0,1.0,57.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
17,6.0,0.0,47.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
18,6.0,0.0,52.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
19,5.0,0.0,47.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20,5.0,1.0,57.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
21,5.0,1.0,42.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
